title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
Senedd elections are held,2021-05-05T23:00:00Z,<p>The people of Wales head to the polls to vote for the next Senedd / Welsh Parliament.</p>,Cynnal Etholiad y Senedd,2021-05-05T23:00:00Z,<p>Pobl Cymru wrthi’n bwrw pleidlais er mwyn dewis y Senedd nesaf.</p>
Wales moves into alert level 3,2021-05-02T23:00:00Z,"<p>From today the whole of Wales is under <a href=""https://gov.wales/alert-level-3""><strong>alert level 3</strong></a> restrictions, as <a href=""https://gov.wales/coronavirus-restrictions-relaxations-confirmed""><strong>confirmed</strong></a> by the First Minister on 30 April.</p>
<p>The next review of the coronavirus restrictions is due by 13 May 2021 so will be carried out by the new Welsh Government following the Senedd election on 6 May 2021. The current Welsh Government previously <a href=""https://gov.wales/written-statement-review-health-protection-coronavirus-restriction-no5-wales-regulations-2020-4""><strong>indicated</strong></a> that Wales could move into <a href=""https://gov.wales/alert-level-2-guide""><strong>alert level 2</strong></a> on 17 May 2021.</p>",Cymru yn symud i lefel rhybudd 3,2021-05-02T23:00:00Z,"<p>O heddiw ymlaen ,mae Cymru’n destun cyfyngiadau <a href=""https://llyw.cymru/lefel-rhybudd-3?_ga=2.256440267.1935975037.1620895709-243699285.1618817423""><strong><u>lefel rhybudd 3</u></strong></a> fel <a href=""https://llyw.cymru/cadarnhau-llacio-cyfyngiadau-coronafeirws?_ga=2.256440267.1935975037.1620895709-243699285.1618817423""><strong><u>y cadarnhawyd</u></strong></a> gan y Prif Weinidog ar 30 Ebrill.</p>
<p>Disgwylir yr adolygiad nesaf o'r cyfyngiadau Coronafeirws erbyn 13 Mai 2021, felly bydd yn cael ei gynnal gan Lywodraeth newydd Cymru yn dilyn Etholiad y Senedd ar 6 Mai 2021. Yn flaenorol, mae Llywodraeth bresennol Cymru <a href=""https://llyw.cymru/datganiad-ysgrifenedig-adolygiad-o-reoliadau-diogelu-iechyd-cyfyngiadau-coronafeirws-rhif-5-cymru-3""><strong><u>wedi'i nodi</u></strong></a> y gallai Cymru symud i <a href=""https://llyw.cymru/lefel-rhybudd-2-crynodeb?_ga=2.218808025.1935975037.1620895709-243699285.1618817423""><strong><u>lefel rhybudd 2</u></strong></a> ar 17 Mai 2021.</p>"
Senedd election to go ahead on 6 May 2021,2021-04-26T23:00:00Z,"<p>Th Welsh Elections (Coronavirus) Act 2021 requires the Welsh Ministers to review the holding of the 2021 Senedd election due to coronavirus. Following the fourth and final review, it was not deemed necessary to postpone the election.</p>",Etholiad y Senedd i fynd rhagddo ar 6 Mai 2021.,2021-04-26T23:00:00Z,"<p>Mae Deddf Etholiadau Cymru (Coronafeirws) 2021 yn ei gwneud yn ofynnol i Weinidogion Cymru adolygu’r bwriad i gynnal etholiad Senedd 2021, oherwydd y Coronafeirws. Yn dilyn y pedwerydd adolygiad – a'r adolygiad terfynol – ni bennwyd bod angen gohirio'r etholiad.</p>"
Review of the coronavirus regulations,2021-04-22T23:00:00Z,"<p>Following the required review of the coronavirus restriction regulations, the First Minister <a href=""https://gov.wales/written-statement-review-health-protection-coronavirus-restriction-no5-wales-regulations-2020-4""><strong>announces</strong></a> that from 26 April outdoor swimming pools, outdoor attractions, organised outdoor activities for up to 30 people and wedding receptions for up to 30 people can take place along with the reopening of outdoor hospitality.</p>
<p>From 3 May 2021 gyms and leisure centres can reopen, extended households will be possible, children’s indoor activities and organised indoor activities for up to 15 people can begin again.</p>",Adolygiad o’r Rheoliadau Coronafeirws,2021-04-22T23:00:00Z,"<p>Yn dilyn yr adolygiad gofynnol o reoliadau cyfyngu’r Coronafeirws, y Prif Weinidog <a href=""https://llyw.cymru/datganiad-ysgrifenedig-adolygiad-o-reoliadau-diogelu-iechyd-cyfyngiadau-coronafeirws-rhif-5-cymru-3""><strong><u>sy’n cyhoeddi</u></strong></a>, o 26 Ebrill ymlaen, y gellir cynnal gweithgareddau pyllau nofio awyr agored, atyniadau awyr agored, gweithgareddau awyr agored wedi'u trefnu ar gyfer hyd at 30 o bobl a derbyniadau priodas ar gyfer hyd at 30 o bobl, ynghyd ag ailagor lletygarwch awyr agored.</p>
<p>O 3 Mai 2021 ymlaen, gall campfeydd a chanolfannau hamdden ailagor, bydd modd cael aelwydydd estynedig, gall gweithgareddau dan do i blant a gweithgareddau dan do wedi'u trefnu ar gyfer hyd at 15 o bobl ddechrau eto.</p>"
Rules on meeting outdoors relaxed,2021-04-18T23:00:00Z,"<p>From Saturday 24 April any six people will be able to meet outdoors. A change from the current rule where six people from two households can meet outdoors.</p>
<p>The First Minister also <a href=""https://gov.wales/outdoor-hospitality-given-go-ahead-reopen-and-rules-mixing-outdoors-relaxed-wales""><strong>confirms</strong></a> that outdoor hospitality will be allowed to reopen on 26 April.</p>",Llacio’r rheolau ar gwrdd yn yr awyr agored,2021-04-18T23:00:00Z,"<p>O ddydd Sadwrn 24 Ebrill ymlaen, bydd unrhyw chwech o bobl yn gallu cwrdd yn yr awyr agored. Dyma newid o'r rheol bresennol, lle gall chwech o bobl o ddwy aelwyd gwrdd yn yr awyr agored.</p>
<p>At hynny, y Prif Weinidog <a href=""https://llyw.cymru/lletygarwch-awyr-agored-yn-cael-caniatad-i-ailagor-ar-rheolau-ar-gymysgu-yn-yr-awyr-agored-yn-cael""><strong><u>sy’n cadarnhau</u></strong></a> y bydd lletygarwch awyr agored yn cael ailagor ar 26 Ebrill.</p>"
Lateral flow tests for those who can’t work from home,2021-04-13T23:00:00Z,"<p>The Health Minister <a href=""https://gov.wales/people-wales-who-cannot-work-home-encouraged-use-lateral-flow-self-tests""><strong>encourages</strong></a> all those who cannot work from home to access lateral flow test kits are they’re rolled out across Wales. The rapid testing kits can be collected from testing sites from 16 April. It’s recommended that tests are taken twice a week, and results are recorded on the UK Government website.</p>",Profion llif unffordd ar gyfer y rheini na allant weithio gartref,2021-04-13T23:00:00Z,"<p>Y Gweinidog Iechyd <a href=""https://llyw.cymru/pobl-yng-nghymru-syn-methu-gweithio-gartref-yn-cael-eu-hannog-i-ddefnyddio-hunan-brofion-llif?_ga=2.212924372.1935975037.1620895709-243699285.1618817423""><strong><u>sy’n annog</u></strong></a> pawb na allant weithio gartref i gael mynediad at offer prawf llif unffordd, wrth iddyn nhw gael eu cyflwyno ledled Cymru. Gellir casglu'r offer profi cyflym o safleoedd profi o 16 Ebrill ymlaen. Argymhellir bod profion yn cael eu cymryd ddwywaith yr wythnos, a bod y canlyniadau'n cael eu cofnodi ar wefan Llywodraeth y DU.</p>"
Vaccines for household contacts of adults with severe immunosuppression,2021-04-12T23:00:00Z,<p>The Welsh Government says it has accepted the Joint Committee on Vaccinations and Immunisation’s advice that people over the age of 16 who live with individuals with severe weakened immune systems should be offered COVID-19 vaccinations as a priority.</p>,Brechlynnau ar gyfer cysylltiadau yn y cartref gydag oedolion â gwrthimiwnedd difrifol,2021-04-12T23:00:00Z,"<p>Llywodraeth Cymru <a href=""https://llyw.cymru/cysylltiadau-aelwydydd-oedolion-gyda-imiwnedd-ataliedig-i-gael-cynnig-brechiad-covid-19?_ga=2.20166392.1935975037.1620895709-243699285.1618817423""><strong><u>sy’n dweud</u></strong></a> ei bod wedi derbyn cyngor y Cyd-bwyllgor ar Imiwneiddio a Brechu y dylid cynnig brechiadau COVID-19 i bobl dros 16 oed sy'n byw gydag unigolion â systemau imiwnedd difrifol wan.</p>"
Easing of restrictions brought forward,2021-04-07T23:00:00Z,"<p>The First Minister <a href=""https://gov.wales/covid-19-restriction-relaxations-wales-brought-forward""><strong>announces</strong></a> that as the public health situation continues to improve, the planned opening of organised outdoor activities and outdoor wedding receptions will be brought forward to 26 April.</p>
<p>From 3 May, a week earlier than previously signalled, gyms and leisure centres will be able to reopen and extended households will be allowed again.</p>",Llacio cyfyngiadau’n gynharach,2021-04-07T23:00:00Z,"<p>Y Prif Weinidog <a href=""https://llyw.cymru/llacio-cyfyngiadau-covid-19-yng-nghymru-yn-gynt?_ga=2.245481284.1935975037.1620895709-243699285.1618817423""><strong><u>sy’n cyhoeddi</u></strong></a>, wrth i'r sefyllfa iechyd cyhoeddus barhau i wella, y bydd y cynllun arfaethedig i agor gweithgareddau awyr agored wedi'u trefnu, a derbyniadau priodas awyr agored, yn cael eu ddwyn ymlaen i 26 Ebrill.</p>
<p>O 3 Mai ymlaen – wythnos ynghynt nag a nodwyd yn flaenorol – bydd campfeydd a chanolfannau hamdden yn gallu ailagor, a chaniateir aelwydydd estynedig eto.</p>"
Third vaccine arrives in Wales,2021-04-06T23:00:00Z,"<p>The Health Minister, Vaughan Gething, <a href=""https://gov.wales/third-covid-19-vaccine-arrives-in-wales""><strong>announces</strong></a> that a third COVID-19 vaccine, Moderna, is being rolled out across Wales from today. It was authorised for use by the Medicines and Healthcare Regulatory Agency (MHRA) in January 2021</p>",Trydydd brechlyn yn cyrraedd Cymru,2021-04-06T23:00:00Z,"<p>Y Gweinidog Iechyd, Vaughan Gething, <a href=""https://llyw.cymru/y-trydydd-brechlyn-covid-19-yn-cyrraedd-cymru?_ga=2.251764681.1935975037.1620895709-243699285.1618817423""><strong><u>sy’n cyhoeddi</u></strong></a> bod trydydd brechlyn COVID-19 – Moderna – yn cael ei gyflwyno ledled Cymru o heddiw ymlaen. Fe'i hawdurdodwyd i'w ddefnyddio gan yr Asiantaeth Rheoleiddio Meddyginiaethau a Chynhyrchion Gofal Iechyd ym mis Ionawr 2021.</p>"
Relaxation of restrictions,2021-03-30T23:00:00Z,"<p>The First Minister, Mark Drakeford, <a href=""https://gov.wales/moving-wales-alert-level-3-first-minister-sets-out-plans-further-relax-covid-restrictions""><strong>announces</strong></a> how restrictions will be eased into mid-May to move Wales into alert level 3 subject to public health conditions.</p>
<p>On 12 April all children and students will return to face-to-face education in Wales, all non-essential retail will be able to reopen, and travel will be allowed out of Wales into the rest of the UK, the Channel Islands, the Isle of Man and the Republic of Ireland. Welsh Ministers are aiming to reopen outdoor attractions and outdoor hospitality including cafes, pubs and restaurants on 26 April.</p>",Llacio cyfyngiadau,2021-03-30T23:00:00Z,"<p>Y Prif Weinidog, Mark Drakeford, <a href=""https://llyw.cymru/symud-cymru-i-lefel-rhybudd-3-y-prif-weinidog-yn-nodir-cynlluniau-ar-gyfer-llacio-cyfyngiadau-covid""><strong><u>sy’n cyhoeddi</u></strong></a> ym mha fodd y bydd cyfyngiadau yn cael eu llacio i mewn i ganol mis Mai, er mwyn symud Cymru i lefel rhybudd 3, yn ddarostyngedig i gyflwr iechyd cyhoeddus.</p>
<p>Ar 12 Ebrill, bydd pob plentyn a myfyriwr yn dychwelyd i addysg wyneb yn wyneb yng Nghymru, bydd pob sefydliad manwerthu nad yw'n hanfodol yn gallu ailagor, a chaniateir teithio allan o Gymru i weddill y DU, Ynysoedd y Sianel, Ynys Manaw a Gweriniaeth Iwerddon. Mae Gweinidogion Cymru yn anelu at ailagor atyniadau awyr agored a lletygarwch awyr agored – gan gynnwys caffis, tafarndai a bwytai – ar 26 Ebrill.</p>"
